x,Edris,Farah,Chelimo,Kejelcha
-45.9,350.76,270.5,284.39,178.22
-39.7,350.43,270.09,283.95,178
-33.3,350.08,269.66,283.5,177.77
-31.7,350,269.55,283.39,177.71
81.9,343,261.92,275.61,173.67
110.4,340.35,260,273.82,172.71
132.5,337.98,258.52,272.5,171.99
177,333,255.61,269.95,170.61
302.8,323.22,248.91,262.5,167.48
313.9,322.77,248.5,261.53,167.27
338.1,322,247.74,259.28,166.86
359.6,321.54,247.23,259,166.54
412.8,321.05,246.57,259.08,166
511.4,321.34,247,259.62,165.89
571,321.75,247.77,260,166.28
610.7,322,248.34,260.24,166.67
736.6,322.45,250,260.85,168.33
782.3,322.54,250.45,261,168.98
863.5,322.71,251.09,261.2,170
948.9,323,251.61,261.5,170.76
1027.7,323.47,252,261.97,171.2
1031.3,323.5,252.02,262,171.22
1268.2,325,252.85,264.17,171.86
1314.4,325.13,252.99,264.59,172
1319,325.14,253,264.63,172.02
1364.5,325.22,253.13,265,172.19
1638.4,325.77,254,266.39,173.5
1660.4,325.88,254.09,266.5,173.59
1681.6,326,254.19,266.61,173.68
1784.1,326.89,254.9,267.23,174
1835.6,327.45,255.5,267.56,174.08
1914,328.08,256.62,268,174.13
1953.9,328,256.99,267.97,174.12
1999.9,327.27,257,266.86,174.09
2041.2,326.01,256.48,265.5,174.06
2133.2,322,254.38,262.63,173.99
2193,319.4,253,260.87,173.98
2254,316.81,251.79,259.18,174
2293.8,315,251.1,258.17,174.05
2324.1,313.38,250.63,257.5,174.1
2388.3,311,249.79,256.89,174.27
2460.3,309.73,249.16,258,174.53
2494.2,309.19,249,258.23,174.68
2614.3,307,249.17,258.13,175.31
2723.7,304.16,249.27,257.07,176
2728.3,304.02,249.25,257,176.03
2757.4,303.1,249,256.5,176.23
2869,299,246.61,253.7,177
2940.4,295.92,244.49,251.5,177.46
2993.1,293.42,243,250.28,177.76
3062.9,289.85,241.43,248.5,178.05
3133.7,286,239.99,245.91,178.14
3174.6,283.69,239.03,244.19,178
3228.7,280.56,237.5,241.6,177.3
3266,278.36,236.23,239.5,176.21
3382,271.28,231.55,230.67,172
3408.2,269.63,230.39,229,171.36
3465,266,227.78,226.06,170.2
3502.6,263.54,226,224.33,169.56
3606.7,256.57,220.98,219.5,168.07
3687.3,251.09,217.14,214,167.17
3701.1,250.15,216.5,213.44,167.04
3777.6,245,213.22,210.68,166.38
3833.9,241.3,211.11,208.73,166
3866.3,239.19,210,207.59,165.82
3946.8,233.97,207.39,204.5,165.44
4052.3,227,203.7,199,164.67
4069.2,225.85,203,197.89,164.48
4112.4,222.85,200.96,195,163.85
4211.1,215.73,195.5,188.69,161.36
4273.5,210.99,192.52,184,158.67
4285.9,210.02,191.89,182.96,158
4298.8,209,191.21,181.85,157.25
4353,204.35,187.5,176.86,153.51
4449.4,192.27,174.02,167,144.61
4451.1,192,173.72,166.81,144.42
4482.1,187.13,168.5,162.91,140.97
4530.8,179.02,160.45,154,135
4609.5,164.8,147.76,139.65,124
4633.5,160,143.96,135.3,120.34
4678.5,148.51,137,127.09,112.98
4700.7,141.9,133.71,122.96,109.05
4708.5,140.05,132.59,121.5,107.64
4751,131.29,126.01,112.45,99.75
4764.6,128.68,123.5,109.36,97.31
4766.3,128.36,123.18,109,97.02
4794.7,123,117.67,103.36,92.19
4858.8,110.05,104.8,90.79,81.75
4864.5,108.83,103.65,89.63,80.83
4872.2,107.15,102.08,88,79.56
4906.3,99.67,95.06,77.5,73.89
4909,99.08,94.5,76.44,73.44
4940.4,92.14,87.93,67,68.14
4961.9,87.39,83.31,62.62,64.5
4981.3,83.11,79,58.88,61.2
